,Title,Genre,Premiere,Runtime,IMDB.Score,Language,origLang
122,The Knight Before Christmas,Romance,11/21/2019,92,5.5,English,English
529,The Irishman: In Conversation,Other,11/27/2019,23,7.4,English,English
562,The Irishman,Action,11/27/2019,209,7.8,English,English
53,Holiday Rush,Family,11/28/2019,94,4.9,English,English
110,Dead Kids,Horror/Thriller,12/01/2019,94,5.5,Filipino,Filipino
34,Porta dos Fundos: The First Temptation of Christ,Comedy,12/03/2019,46,4.6,Portuguese,Portuguese
96,A Christmas Prince: The Royal Baby,Romance,12/05/2019,85,5.4,English,English
566,Marriage Story,Drama,12/06/2019,136,7.9,English,English
221,6 Underground,Action,12/13/2019,128,6.1,English,English
16,After the Raid,Documentary,12/19/2019,25,4.3,Spanish,Spanish
550,The Two Popes,Drama,12/20/2019,125,7.6,English,English
297,Como Caído del Cielo,Musical,12/24/2019,112,6.4,Spanish,Spanish
540,John Mulaney & the Sack Lunch Bunch,Other,12/24/2019,70,7.5,English,English
3,The App,Sci-Fi/Fantasy,12/26/2019,79,2.6,Italian,Italian
459,El Pepe: A Supreme Life,Documentary,12/27/2019,73,7.1,Spanish,Spanish
17,Ghost Stories,Horror/Thriller,01/01/2020,144,4.3,Hindi,Hindi
193,A Fall from Grace,Horror/Thriller,1/17/2020,120,5.9,English,English
346,What Did Jack Do?,Drama,1/20/2020,17,6.5,English,English
55,Airplane Mode,Comedy,1/23/2020,96,5,Portuguese,Portuguese
524,Miss Americana,Documentary,1/31/2020,85,7.4,English,English
199,Horse Girl,Drama,02/07/2020,104,5.9,English,English
559,Road to Roma,Other,02/11/2020,72,7.7,Spanish,Spanish
219,To All the Boys: P.S. I Still Love You,Romance,02/12/2020,102,6,English,English
301,Isi & Ossi,Romance,2/14/2020,113,6.4,German,German
18,The Last Thing He Wanted,Horror/Thriller,2/21/2020,115,4.3,English,English
552,Yeh Ballet,Drama,2/21/2020,117,7.6,Hindi,Hindi
322,All the Bright Places,Romance,2/28/2020,108,6.5,English,English
101,Guilty,Horror/Thriller,03/06/2020,119,5.4,Hindi,Hindi
258,Spenser Confidential,Action,03/06/2020,111,6.2,English,English
514,Sitara: Let Girls Dream,Animation,03/08/2020,15,7.3,English,English
231,Lost Girls,Action,3/13/2020,95,6.1,English,English
324,Altered Carbon: Resleeved,Animation,3/19/2020,74,6.5,Japanese,Japanese
207,Ultras,Drama,3/20/2020,108,5.9,Italian,Italian
393,A Life of Speed: The Juan Manuel Fangio Story,Documentary,3/20/2020,92,6.8,Spanish,Spanish
314,The Occupant,Horror/Thriller,3/25/2020,103,6.4,Spanish,Spanish
556,Crip Camp: A Disability Revolution,Documentary,3/25/2020,108,7.7,English,English
201,Maska,Romance,3/27/2020,111,5.9,Hindi,Hindi
202,The Decline,Horror/Thriller,3/27/2020,83,5.9,French,French
292,Uncorked,Drama,3/27/2020,103,6.3,English,English
41,Sol Levante,Animation,04/02/2020,4,4.7,English,English
62,Coffee & Kareem,Action,04/03/2020,88,5.1,English,English
49,The Main Event,Comedy,04/10/2020,101,4.8,English,English
115,Love Wedding Repeat,Romance,04/10/2020,100,5.5,English,English
344,Tigertail,Drama,04/10/2020,91,6.5,Other,English/Taiwanese/Mandarin
485,LA Originals,Documentary,04/10/2020,92,7.2,English,English
51,Earth and Blood,Action,4/17/2020,80,4.9,French,French
179,Rising High,Other,4/17/2020,94,5.8,German,German
235,Sergio,Biopic,4/17/2020,118,6.1,English,English
315,The Willoughbys,Animation,4/22/2020,90,6.4,English,English
456,Circus of Books,Documentary,4/22/2020,92,7.1,English,English
289,Time to Hunt,Horror/Thriller,4/23/2020,134,6.3,Korean,Korean
373,Extraction,Action,4/24/2020,117,6.7,English,English
304,Murder to Mercy: The Cyntoia Brown Story,Documentary,4/29/2020,97,6.4,English,English
564,A Secret Love,Documentary,4/29/2020,82,7.9,English,English
87,Dangerous Lies,Horror/Thriller,4/30/2020,97,5.3,English,English
178,Rich in Love,Romance,4/30/2020,105,5.8,Portuguese,Portuguese
46,Mrs. Serial Killer,Horror/Thriller,05/01/2020,106,4.8,Hindi,Hindi
165,All Day and a Night,Drama,05/01/2020,121,5.8,English,English
429,The Half of It,Romance,05/01/2020,105,6.9,English,English
397,Becoming,Documentary,05/06/2020,89,6.8,English,English
402,Have a Good Trip: Adventures in Psychedelics,Documentary,05/11/2020,85,6.8,English,English
159,The Wrong Missy,Comedy,5/13/2020,90,5.7,English,English
579,Ben Platt: Live from Radio City Music Hall,Musical,5/20/2020,85,8.4,English,English
239,The Lovebirds,Romance,5/22/2020,87,6.1,English,English
505,I'm No Longer Here,Drama,5/27/2020,105,7.3,Spanish,Spanish
89,Intuition,Horror/Thriller,5/28/2020,116,5.3,Spanish,Spanish
427,Spelling the Dream,Documentary,06/03/2020,83,6.9,English,English
8,The Last Days of American Crime,Action,06/05/2020,149,3.7,English,English
169,Choked: Paisa Bolta Hai,Drama,06/05/2020,114,5.8,Hindi,Hindi
329,Da 5 Bloods,Action,06/12/2020,155,6.5,English,English
152,One Take,Documentary,6/18/2020,85,5.7,Thai,Thai
365,A Whisker Away,Animation,6/18/2020,104,6.7,Japanese,Japanese
133,One-Way to Tomorrow,Romance,6/19/2020,90,5.6,Turkish,Turkish
253,Lost Bullet,Horror/Thriller,6/19/2020,92,6.2,French,French
271,Feel the Beat,Family,6/19/2020,107,6.3,English,English
573,Disclosure: Trans Lives on Screen,Documentary,6/19/2020,107,8.2,English,English
339,Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish,Spanish
349,Bulbbul,Horror/Thriller,6/24/2020,94,6.6,Hindi,Hindi
543,Athlete A,Documentary,6/24/2020,104,7.6,English,English
331,Eurovision Song Contest: The Story of Fire Saga,Musical,6/26/2020,123,6.5,English,English
107,Under the Riccione Sun,Romance,07/01/2020,101,5.4,Italian,Italian
68,Desperados,Romance,07/03/2020,106,5.2,English,English
506,Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,07/08/2020,96,7.3,Spanish,Spanish/English
387,The Old Guard,Action,07/10/2020,124,6.7,English,English
428,The Claudia Kishi Club,Documentary,07/10/2020,17,6.9,English,English
37,We Are One,Documentary,7/14/2020,86,4.6,French,French
36,The Players,Comedy,7/15/2020,88,4.6,Italian,Italian
26,Fatal Affair,Horror/Thriller,7/16/2020,89,4.5,English,English
503,Father Soldier Son,Documentary,7/17/2020,100,7.3,English,English
65,The Larva Island Movie,Animation,7/23/2020,90,5.1,English,English
188,The Kissing Booth 2,Romance,7/24/2020,131,5.8,English,English
255,Offering to the Storm,Horror/Thriller,7/24/2020,139,6.2,Spanish,Spanish
530,The Speed Cubers,Documentary,7/29/2020,40,7.4,English,English
28,Seriously Single,Comedy,7/31/2020,107,4.5,English,English
510,Raat Akeli Hai,Horror/Thriller,7/31/2020,149,7.3,Hindi,Hindi
293,Anelka: Misunderstood,Documentary,08/05/2020,94,6.4,French,French
244,Work It,Comedy,08/07/2020,93,6.1,English,English
88,Gunjan Saxena: The Kargil Girl,Drama,08/12/2020,112,5.3,Hindi,Hindi
52,Fearless,Animation,8/14/2020,89,4.9,English,English
214,Project Power,Action,8/14/2020,113,6,English,English
254,Octonauts & the Caves of Sac Actun,Animation,8/14/2020,72,6.2,English,English
249,Crazy Awesome Teachers,Comedy,8/17/2020,101,6.2,Indonesian,Indonesian
302,John Was Trying to Contact Aliens,Documentary,8/20/2020,16,6.4,English,English
362,The Crimes That Bind,Action,8/20/2020,99,6.6,Spanish,Spanish
2,Dark Forces,Horror/Thriller,8/21/2020,81,2.6,Spanish,Spanish
139,The Sleepover,Comedy,8/21/2020,103,5.6,English,English
170,Class of '83,Drama,8/21/2020,98,5.8,Hindi,Hindi
571,Rising Phoenix,Documentary,8/26/2020,106,8.1,English,English
243,Unknown Origins,Horror/Thriller,8/28/2020,96,6.1,Spanish,Spanish
323,All Together Now,Drama,8/28/2020,93,6.5,English,English
99,Freaks: You're One of Us,Sci-Fi/Fantasy,09/02/2020,92,5.4,German,German
132,"Love, Guaranteed",Romance,09/03/2020,91,5.6,English,English
353,I'm Thinking of Ending Things,Horror/Thriller,09/04/2020,134,6.6,English,English
570,My Octopus Teacher,Documentary,09/07/2020,85,8.1,English,English
549,The Social Dilemma,Documentary,09/09/2020,94,7.6,English,English
186,The Babysitter: Killer Queen,Horror/Thriller,09/10/2020,102,5.8,English,English
145,Dad Wanted,Family,09/11/2020,102,5.7,Spanish,Spanish
376,Hope Frozen: A Quest to Live Twice,Documentary,9/15/2020,80,6.7,Other,Thia/English
138,The Paramedic,Horror/Thriller,9/16/2020,94,5.6,Spanish,Spanish
475,The Devil All the Time,Horror/Thriller,9/16/2020,138,7.1,English,English
401,GIMS: On the Record,Documentary,9/17/2020,96,6.8,French,French
13,Whipped,Romance,9/18/2020,97,4.1,Indonesian,Indonesian
98,Dolly Kitty and Those Twinkling Stars,Drama,9/18/2020,120,5.4,Hindi,Hindi
394,A Love Song for Latasha,Documentary,9/21/2020,19,6.8,English,English
407,The Boys in the Band,Drama,9/30/2020,121,6.8,English,English
408,The Boys in the Band: Something Personal,Other,9/30/2020,28,6.8,English,English
480,American Murder: The Family Next Door,Documentary,9/30/2020,82,7.2,English,English
14,All Because of You,Action,10/01/2020,101,4.2,Other,Malay
42,The Binding,Drama,10/02/2020,93,4.7,Italian,Italian
117,Òlòt?ré,Action,10/02/2020,106,5.5,English,English
140,Vampires vs. the Bronx,Horror/Thriller,10/02/2020,86,5.6,English,English
191,You've Got This,Romance,10/02/2020,111,5.8,Spanish,Spanish
406,Serious Men,Drama,10/02/2020,114,6.8,Hindi,Hindi
536,Dick Johnson Is Dead,Documentary,10/02/2020,90,7.5,English,English
584,David Attenborough: A Life on Our Planet,Documentary,10/04/2020,83,9,English,English
75,Hubie Halloween,Comedy,10/07/2020,103,5.2,English,English
416,Bigflo & Oil: Hip Hop Frenzy,Documentary,10/08/2020,100,6.9,French,French
148,Ginny Weds Sunny,Romance,10/09/2020,125,5.7,Hindi,Hindi
493,The 40-Year-Old Version,Comedy,10/09/2020,124,7.2,English,English
507,Octonauts & the Great Barrier Reef,Animation,10/13/2020,47,7.3,English,English
534,Blackpink: Light Up the Sky,Documentary,10/14/2020,79,7.5,Korean,Korean
576,The Three Deaths of Marisela Escobedo,Documentary,10/14/2020,109,8.2,Spanish,Spanish
57,Love Like the Falling Rain,Drama,10/15/2020,86,5,Indonesian,Indonesian
95,A Babysitter's Guide to Monster Hunting,Sci-Fi/Fantasy,10/15/2020,98,5.4,English,English
474,Rooting for Roona,Documentary,10/15/2020,41,7.1,Other,Bengali
563,The Trial of the Chicago 7,Drama,10/16/2020,130,7.8,English,English
215,Rebecca,Romance,10/21/2020,123,6,English,English
60,Cadaver,Horror/Thriller,10/22/2020,86,5.1,Other,Norwegian
307,Over the Moon,Animation,10/23/2020,95,6.4,English,English
134,Sarah Cooper: Everything's Fine,Other,10/27/2020,49,5.6,English,English
464,Guillermo Vilas: Settling the Score,Documentary,10/27/2020,94,7.1,Spanish,Spanish
47,Nobody Sleeps in the Woods Tonight,Horror/Thriller,10/28/2020,103,4.8,Polish,Polish
